Ireland 爱尔兰
Loughshane 洛克
early 早期的
fact 事实
Omnium 综合项目
Slide 滑
close 接近
four 四 14
happy 快乐的
women 女性
aware 意识到
nor 也不
round 圆
sit 坐
Cantrip 小戏法
Jones 琼斯（姓氏
Killaloe 基
aunt 姨妈
intended 预期的
stood 站
try 尝
high 高的
power 力量
walked 走路
Ill 生病的
girl 女孩
married 结婚
necessary 必要的
resolved 决心 35
towards 朝向
voice 声音
yes 是的
Flood 洪水
afraid 害
deal 交易
return 返回
understood 理解
Sunday 星期天
continued 继续
debate 辩论
doctor 医生
duel 决斗
reason 理由
trouble 麻烦
turned 转向
under 在……之下
cant 不会
read 阅读
second 第二
themselves 他们自己
tomorrow 明天
within 在……之内
keep 保持
saying 说
wont 不会
written 写
bound 绑定
fear 害怕
fellow 同伴
impossible 不可能的
special 特别的
Fawn 小鹿
Irish 爱尔兰的
manner 方式
note 笔记
wanted 想要
write 写
Clarkson 克拉克森（姓氏）
boy 男孩
need 需要
replied 回答
wonder 想知道
open 打开
Street 街道
Treasury 财政部
afterwards 之后
bring 带来
further 进一步
large 大的
others 其他人
passed 通过
vote 投票
Indeed 的确
accept 接受
beginning 开始
bill 账单法案
everything 一切事物
homes 家
