bill 已知	账单法案
everything 已知	一切事物
off 已知	离开断开
rate 已知	比率评估
party 已知	政党聚会
feeling 已知	感觉情感
however 已知	然而可是
side 已知	侧面一方
certain 已知	确定某些
eyes 已知	眼睛视力
position 已知	位置职位
wrong 已知	错误不对
marry 已知	结婚嫁娶
while 已知	同时然而
Oh 已知	翻译出错，请更新
true 已知	真实正确
leave 已知	离开休假
spoken 已知	口头讲的
hour 已知	小时钟头
least 已知	最少最小
Government 已知	翻译出错，请更新
yourself 已知	你自己们
Saulsby 已知	翻译出错，请更新
coming 已知	即将来临
declared 已知	宣布声明
kind 已知	种类和蔼
looked 已知	看过瞧过
night 已知	夜晚晚上
else 已知	其他别的
gone 已知	离去走了
used 已知	用过旧的
idea 已知	主意想法
lord 已知	上帝阁下
name 已知	名字命名
chance 已知	机会机遇
duty 已知	责任义务
face 已知	脸面
loved 已知	热爱喜爱
ought 已知	应该
political 已知	政治的
sat 已知	坐过坐了
saw 已知	看见锯子
talk 已知	说
dinner 已知	晚餐正餐
doing 已知	正在做事
each 已知	每个
Loughton 已知	翻译出错，请更新
brought 已知	带来拿来
few 已知	很少几个
hands 已知	手指针帮
year 已知	年份年度
call 已知	呼叫
hard 已知	坚硬
received 已知	收到接到
altogether 已知	总共完全
either 已知	任何一个
help 已知	帮助
next 已知	下一个的
part 已知	部分角色
session 已知	会议开庭
hear 已知	听见听到
lady 已知	女士夫人
rather 已知	宁可宁愿
success 已知	成功胜利
Minister 已知	翻译出错，请更新
live 已知	居住生活
began 已知	开始启动
gentleman 已知	绅士先生
politics 已知	政治事务
care 已知	照顾关心
end 已知	结束终止
poor 已知	贫穷贫困
simply 已知	简单朴素
able 已知	能够有才
already 已知	已经早已
less 已知	更少较少
looking 已知	看着瞧着
often 已知	常常经常
really 已知	真正
Chapter 已知	翻译出错，请更新
Oswald 已知	翻译出错，请更新
means 已知	方法
strong 已知	强壮强烈
therefore 已知	因此所以
whole 已知	全部整体
Square 已知	翻译出错，请更新
remember 已知	记得记住
pleasant 已知	愉快舒适
sitting 已知	坐着在坐
stand 已知	站立忍受
unless 已知	除非如果
Im 已知	翻译出错，请更新
bad 已知	坏的不好
borough 已知	市镇区域
door 已知	门出入口
evening 已知	晚上傍晚
meet 已知	相遇遇见
where 已知	哪里何处
Palliser 已知	翻译出错，请更新
making 已知	制作制造
Ratler 已知	翻译出错，请更新
during 已知	在…… 期间
head 已知	头头脑部
occasion 已知	场合时机
angry 已知	生气
full 已知	充满满的
speaking 已知	说话讲话
standing 已知	站立地位
Reform 已知	翻译出错，请更新
allowed 已知	翻译出错，请更新
business 已知	商业 2
glad 已知	高兴
late 已知	晚的
members 已知	成员
sort 已知	分类
Ireland 已知	翻译出错，请更新
Loughshane 已知	翻译出错，请更新
early 已知	早期的
fact 已知	事实
Omnium 已知	翻译出错，请更新
Slide 已知	翻译出错，请更新
close 已知	接近
four 已知	四 14
happy 已知	快乐的
women 已知	女性
aware 已知	意识到
nor 已知	也不
round 已知	圆
sit 已知	坐
Cantrip 已知	翻译出错，请更新
Jones 已知	翻译出错，请更新
Killaloe 已知	翻译出错，请更新
aunt 已知	姨妈
intended 已知	预期的
stood 已知	站
try 已知	尝
high 已知	高的
power 已知	力量
walked 已知	走路
Ill 已知	翻译出错，请更新
girl 已知	女孩
